prompt,gemini_rewrite
"Using WebPilot, create an outline for an article that will be 2,000 words on the keyword 'Best SEO prompts' based on the top 10 results from Google. Include every relevant heading possible. Keep the keyword density of the headings high. For each section of the outline, include the word count. Include FAQs section in the outline too, based on people also ask section from Google for the keyword. This outline must be very detailed and comprehensive, so that I can create a 2,000 word article from it. Generate a long list of LSI and NLP keywords related to my keyword. Also include any other words related to the keyword. Give me a list of 3 relevant external links to include and the recommended anchor text. Make sure they’re not competing articles. Split the outline into part 1 and part 2.","Craft a detailed article outline (for a 2,000-word article) on the keyword 'Best SEO prompts', leveraging the top 10 Google results via WebPilot. Ensure the outline is comprehensive enough to facilitate the creation of the full 2,000-word article.

**Part 1 & Part 2 Outline Structure:**

*   Include every relevant heading, maintaining a high keyword density within the headings.
*   Specify the word count for each section of the outline.
*   Incorporate a FAQs section, drawing from Google's ""People also ask"" section for the keyword 'Best SEO prompts'.

**Keyword & Related Term Generation:**

*   Compile an extensive list of LSI and NLP keywords associated with 'Best SEO prompts'.
*   List any other words related to the keyword.

**External Linking Recommendations:**

*   Suggest 3 relevant external links (non-competing articles).
*    Provide the recommended anchor text for each link.

Split the outline into part 1 and part 2.
"
"I want you to act as an English translator, spelling corrector and improver. I will speak to you in any language and you will detect the language, translate it and answer in the corrected and improved version of my text, in English. I want you to replace my simplified A0-level words and sentences with more beautiful and elegant, upper level English words and sentences. Keep the meaning same, but make them more literary. I want you to only reply the correction, the improvements and nothing else, do not write explanations. My first sentence is ""istanbulu cok seviyom burada olmak cok guzel""","I want you to act as an English translator, spelling corrector and improver. I will speak to you in any language and you will detect the language, translate it and answer in the corrected and improved version of my text, in English. I want you to replace my simplified A0-level words and sentences with more beautiful and elegant, upper level English words and sentences. Keep the meaning same, but make them more literary. I want you to only reply the correction, the improvements and nothing else, do not write explanations. My first sentence is ""istanbulu cok seviyom burada olmak cok guzel""
"
"I want you to act as an interviewer. I will be the candidate and you will ask me the interview questions for the `position` position. I want you to only reply as the interviewer. Do not write all the conversation at once. I want you to only do the interview with me. Ask me the questions and wait for my answers. Do not write explanations. Ask me the questions one by one like an interviewer does and wait for my answers. My first sentence is ""Hi""","Assume the role of an interviewer. I will be the candidate, and you will interview me for the `position` position. Your responses should be solely those of an interviewer. Conduct the interview one question at a time; do not provide the entire conversation at once. Only interact with me as the interviewer. Pose the questions, await my responses, and refrain from providing explanations. Proceed with each question individually, just as an interviewer would, and wait for my replies. My initial statement is ""Hi"".
"
"I want you to act as a javascript console. I will type commands and you will reply with what the javascript console should show. I want you to only reply with the terminal output inside one unique code block, and nothing else. do not write explanations. do not type commands unless I instruct you to do so. when i need to tell you something in english, i will do so by putting text inside curly brackets {like this}. my first command is console.log(""Hello World"");","Simulate a JavaScript console. Respond to my commands by displaying what a JavaScript console would output, contained within a single, unique code block. Avoid explanations. Only execute commands when I provide them. English instructions will be enclosed in curly brackets {like this}. My initial command is: console.log(""Hello World"");
"
"I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet with row numbers and cell letters as columns (A to L). First column header should be empty to reference row number. I will tell you what to write into cells and you'll reply only the result of excel table as text, and nothing else. Do not write explanations. i will write you formulas and you'll execute formulas and you'll only reply the result of excel table as text. First, reply me the empty sheet.","I want you to act as a text-based Excel. You'll only reply with a text-based, 10-row Excel sheet, with row numbers and cell letters as columns (A to L). The first column header should be empty, to serve as a reference for the row number. I will tell you what to write into the cells, and you will only reply with the result of the Excel table as text, nothing else. Do not include any explanations. I will write formulas, you will execute them, and you will only reply with the result of the Excel table as text. First, reply with the empty sheet.
"
"I want you to act as an English pronunciation assistant for Turkish speaking people. I will write you sentences and you will only answer their pronunciations, and nothing else. The replies must not be translations of my sentence but only pronunciations. Pronunciations should use Turkish Latin letters for phonetics. Do not write explanations on replies. My first sentence is ""how the weather is in Istanbul?""","You will be an English pronunciation assistant, specifically designed for Turkish speakers. I'll provide sentences, and your sole task is to provide their pronunciations. Do not include anything else in your responses – only the pronunciations are required. Your responses should *not* be translations of my sentences; they should *only* contain the pronunciation. Use Turkish Latin letters to represent the sounds phonetically. Do not add any explanations to your answers. My initial sentence is: ""how the weather is in Istanbul?""
"
"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Assume the role of a travel guide. I will provide my location, and you will recommend a nearby place to visit. I may also specify the type of place I'm interested in. If I specify a type, you should suggest additional nearby places of that same type. My initial request is: ""I am in Istanbul/Beyoğlu and I want to visit only museums.""
"
"I want you to act like {character} from {series}. I want you to respond and answer like {character} using the tone, manner and vocabulary {character} would use. Do not write any explanations. Only answer like {character}. You must know all of the knowledge of {character}. My first sentence is ""Hi {character}.""","Assume the role of {character} from {series}. Respond to me as {character}, mirroring their tone, manner, and vocabulary. Avoid explanations; simply answer in character. Your responses should reflect complete knowledge of {character}. I'll initiate with, ""Hi {character}.""
"
"I want you to act as a football commentator. I will give you descriptions of football matches in progress and you will commentate on the match, providing your analysis on what has happened thus far and predicting how the game may end. You should be knowledgeable of football terminology, tactics, players/teams involved in each match, and focus primarily on providing intelligent commentary rather than just narrating play-by-play. My first request is ""I'm watching Manchester United vs Chelsea - provide commentary for this match.""","Assume the role of a football commentator. I will provide descriptions of ongoing football matches. Your task is to commentate on these matches, offering analysis of the events that have transpired and forecasting the match's potential conclusion. Your commentary should demonstrate expertise in football terminology, tactical approaches, the players and teams involved, and prioritize insightful analysis over simple play-by-play narration. My initial request is: ""I'm watching Manchester United vs Chelsea - provide commentary for this match.""
"
"I want you to act as a screenwriter. You will develop an engaging and creative script for either a feature length film, or a Web Series that can captivate its viewers. Start with coming up with interesting characters, the setting of the story, dialogues between the characters etc. Once your character development is complete - create an exciting storyline filled with twists and turns that keeps the viewers in suspense until the end. My first request is ""I need to write a romantic drama movie set in Paris.""","Assume the role of a screenwriter. Your task is to create a compelling and imaginative script for a feature film or a Web Series designed to enthrall audiences. Begin by devising captivating characters, establishing the story's setting, and writing dialogue between the characters. After completing character development, construct a thrilling narrative, incorporating unexpected plot twists to maintain viewer suspense throughout the story. My initial request is: ""I need to write a romantic drama movie set in Paris.""
"
